0.0000e+00,0.0000e+00
1.0457e-01,-2.7825e-03
2.0914e-01,-6.9011e-03
3.1370e-01,-8.2983e-03
4.1827e-01,-1.0529e-02
5.2284e-01,-1.1929e-02
6.2741e-01,-1.6402e-02
7.3197e-01,-2.2420e-02
8.3654e-01,-2.3464e-02
9.4111e-01,-2.3416e-02
1.0457e+00,-2.6358e-02
1.1502e+00,-2.9967e-02
1.2548e+00,-3.3701e-02
1.3594e+00,-3.6469e-02
1.4639e+00,-4.1764e-02
1.5685e+00,-4.3104e-02
1.6731e+00,-4.7114e-02
1.7776e+00,-4.8431e-02
1.8822e+00,-4.6741e-02
1.9868e+00,-5.0892e-02
2.0914e+00,-4.9017e-02
2.1959e+00,-4.5095e-02
2.3005e+00,-4.4397e-02
2.4051e+00,-4.1748e-02
