0.0000e+00,0.0000e+00
1.0457e-01,-2.4073e-03
2.0914e-01,-5.6790e-03
3.1370e-01,-8.5182e-03
4.1827e-01,-7.4547e-03
5.2284e-01,-8.7822e-03
6.2741e-01,-9.8572e-03
7.3197e-01,-1.0552e-02
8.3654e-01,-1.1274e-02
9.4111e-01,-1.1946e-02
1.0457e+00,-1.2395e-02
1.1502e+00,-1.2481e-02
1.2548e+00,-1.2376e-02
1.3594e+00,-1.1640e-02
1.4639e+00,-1.2114e-02
1.5685e+00,-1.1133e-02
1.6731e+00,-9.7781e-03
1.7776e+00,-8.7507e-03
1.8822e+00,-7.1576e-03
1.9868e+00,-5.4943e-03
2.0914e+00,-4.5486e-03
2.1959e+00,-4.0467e-03
2.3005e+00,-4.3306e-03
2.4051e+00,-4.4953e-03
