0.0000e+00,0.0000e+00
1.0457e-01,1.8486e-02
2.0914e-01,2.7463e-03
3.1370e-01,-2.4556e-03
4.1827e-01,-7.9737e-03
5.2284e-01,-1.1742e-02
6.2741e-01,-1.4066e-02
7.3197e-01,-1.3712e-02
8.3654e-01,-1.3537e-02
9.4111e-01,-1.3914e-02
1.0457e+00,-1.5416e-02
1.1502e+00,-1.7140e-02
1.2548e+00,-1.9024e-02
1.3594e+00,-2.1278e-02
1.4639e+00,-2.5424e-02
1.5685e+00,-2.8100e-02
1.6731e+00,-2.9140e-02
1.7776e+00,-2.7427e-02
1.8822e+00,-2.6979e-02
1.9868e+00,-2.4158e-02
2.0914e+00,-2.2582e-02
2.1959e+00,-2.2295e-02
2.3005e+00,-2.0906e-02
2.4051e+00,-1.8965e-02
