0.0000e+00,0.0000e+00
1.0457e-01,1.7279e-03
2.0914e-01,-5.8086e-03
3.1370e-01,-1.6661e-02
4.1827e-01,-1.9487e-02
5.2284e-01,-2.1776e-02
6.2741e-01,-2.3945e-02
7.3197e-01,-2.5106e-02
8.3654e-01,-2.6572e-02
9.4111e-01,-2.8906e-02
1.0457e+00,-3.1730e-02
1.1502e+00,-3.3370e-02
1.2548e+00,-3.4862e-02
1.3594e+00,-3.6467e-02
1.4639e+00,-3.6398e-02
1.5685e+00,-3.5070e-02
1.6731e+00,-3.1080e-02
1.7776e+00,-2.6130e-02
1.8822e+00,-2.3508e-02
1.9868e+00,-2.1353e-02
2.0914e+00,-1.9761e-02
2.1959e+00,-1.8227e-02
2.3005e+00,-1.5518e-02
2.4051e+00,-1.4341e-02
